"Ion","Pval_no_batch_correction","FDR_Pval_no_batch_correction","Pval_with_batch_correction","FDR_Pval_with_batch_correction"
"309.2052351",8.11467798071097e-48,8.65565651275837e-47,0.733949024416172,0.999959397790101
"310.097699",5.76763838280901e-26,4.68735055872732e-25,0.823897300571158,0.999959397790101
"311.0823257",0.120132345822297,0.170381609587301,0.973714831396471,0.999959397790101
"311.2571188",0.618636235644546,0.676798616773521,0.994895787751006,0.999959397790101
"312.1173874",0.569864906149143,0.637054218227863,0.988727853344776,0.999959397790101
"312.2899522",0.10759094840616,0.15561176718631,0.97281038265986,0.999959397790101
"313.1698774",1.96352896849071e-05,5.5542918887693e-05,0.93641985817765,0.999959397790101
"313.2716013",1.15436964915354e-64,1.51548015478618e-63,0.674462825434611,0.999959397790101
"313.2726359",1.92262140082556e-87,4.92191078611343e-86,0.580358975646319,0.999959397790101
"313.2729052",1.15558954381486e-09,4.62235817525946e-09,0.901586840307143,0.999959397790101
"313.2737788",3.10692926046476e-25,2.41022391114842e-24,0.827663942419048,0.999959397790101
"313.2738423",4.57969636344733e-15,2.49447291285642e-14,0.872899798992081,0.999959397790101
"313.2738508",4.86944686723704e-16,2.77017421780596e-15,0.867585734020875,0.999959397790101
"313.3216534",1.61178268135161e-62,2.01276276305371e-61,0.680442084696805,0.999959397790101
"317.1348815",8.97641136823654e-79,1.64140093590611e-77,0.61066554562784,0.999959397790101
"317.1360891",2.66915140665554e-66,3.69352843299361e-65,0.658958022066252,0.999959397790101
"318.1665992",0.153429616412991,0.209627452908301,0.975553766740527,0.999959397790101
"318.3026049",1.37324584997282e-05,3.9352235748377e-05,0.935686853613581,0.999959397790101
"319.262075",0.00603807118787446,0.0117547241376111,0.960212232909605,0.999959397790101
"322.1207859",0.000195586165984928,0.000479139315714274,0.939990101279099,0.999959397790101
"323.1219217",7.99258994989398e-05,0.000208786023180904,0.936304827216732,0.999959397790101
"324.1432064",2.15779669481254e-87,5.2609138464001e-86,0.583065837975806,0.999959397790101
"324.1437785",1.01019800786593e-87,3.04247870604327e-86,0.571526572684308,0.999959397790101
"324.1574788",0.43226709015851,0.50878333370381,0.985442421659861,0.999959397790101
"326.3055393",0.0259711679322234,0.0444723678304294,0.963325811714702,0.999959397790101
"328.141415",0.071057874817327,0.107320448101686,0.969828887209804,0.999959397790101
"328.3214892",0.0562411770782549,0.0872590383759591,0.973428646417623,0.999959397790101
"329.1647592",8.99767071395625e-06,2.64759046295724e-05,0.933401685712658,0.999959397790101
"330.0742701",1.36475822523488e-05,3.9352235748377e-05,0.930057746903856,0.999959397790101
"330.1672611",0.00119325385572191,0.00259977010267923,0.952254188654932,0.999959397790101
"330.3011775",0.0350853240481396,0.0583236555605438,0.965098544908169,0.999959397790101
"331.2253389",0.00118994976543828,0.00259977010267923,0.953018059296599,0.999959397790101
"332.18243",0.478569084800415,0.555617622262613,0.986536022728513,0.999959397790101
"334.1619269",0.0365105275487048,0.0604964081065917,0.965429896014013,0.999959397790101
"335.1265946",0.164234869911921,0.223638971794957,0.976395061773852,0.999959397790101
"338.3426139",0.121863815103325,0.172359871085366,0.973938874595263,0.999959397790101
"339.1850336",0.584240517787489,0.647470011054533,0.994151721428154,0.999959397790101
"339.2898221",1.21264715842972e-11,5.35237366479325e-11,0.890178319924962,0.999959397790101
"339.2898567",7.80734093387744e-98,3.33113213178771e-96,0.541393567686524,0.999959397790101
"339.2904342",7.58732393436917e-55,8.82888603272049e-54,0.707319988789748,0.999959397790101
"339.3368377",8.92911501718221e-07,2.89348537265651e-06,0.920216336451138,0.999959397790101
"341.2013668",1.70806546688544e-06,5.34774072412055e-06,0.922962992544631,0.999959397790101
"341.2670735",4.01246238266874e-09,1.55634904539878e-08,0.905037241989827,0.999959397790101
"341.3045359",3.10086361993594e-07,1.04450142987316e-06,0.918418996815716,0.999959397790101
"341.3048689",1.74112412536758e-13,8.967342142761e-13,0.881061201272389,0.999959397790101
"343.1310698",0.196757846916269,0.257647103890358,0.977553913891592,0.999959397790101
"346.0480079",0.000253651747792589,0.000615496184217088,0.940817856228943,0.999959397790101
"348.0716719",0.0659205677688745,0.100750240888548,0.969185502522252,0.999959397790101
"349.0613772",8.53363209762191e-29,7.28203272330403e-28,0.809724647871667,0.999959397790101
"349.1724202",3.53211572982869e-05,9.72281319178649e-05,0.932811028308416,0.999959397790101
"350.1698301",0.408494257180295,0.486393162037933,0.989898404087138,0.999959397790101
"353.3056593",0.000868187876833533,0.00191600083163262,0.946077962067226,0.999959397790101
"354.1963499",0.0586067513817055,0.0903814961067265,0.973371414521378,0.999959397790101
"355.2826455",3.71259648152e-24,2.83708865453468e-23,0.829676255019496,0.999959397790101
"356.2114145",0.00185174096264839,0.00393398909907043,0.954234348617049,0.999959397790101
"357.1482144",1.57325961633464e-52,1.75110635557247e-51,0.716549944797408,0.999959397790101
"359.1048111",0.55406837893502,0.627617278793651,0.988418216264937,0.999959397790101
"359.1578439",0.482122553195667,0.558476803701769,0.986657295748243,0.999959397790101
"360.0833758",8.45099886486133e-08,3.00479959639514e-07,0.913086463066943,0.999959397790101
"361.1697371",0.00426858938730946,0.00847099909419552,0.958571236977103,0.999959397790101
"361.1754051",0.196582100390391,0.257647103890358,0.982661926965475,0.999959397790101
"361.23589",0.00299174684091135,0.00605444419978898,0.956179386874812,0.999959397790101
"362.2677346",0.0632851922886574,0.0970120312927921,0.973977695000485,0.999959397790101
"365.2400989",9.8140435210709e-17,5.84277939859105e-16,0.863647765804985,0.999959397790101
"367.1917258",0.0470994555773026,0.0751243652821774,0.967119707905631,0.999959397790101
"367.2352378",4.96813091242326e-06,1.49628413362395e-05,0.926558710947728,0.999959397790101
"369.1885755",0.000402747452057478,0.00094590227272215,0.947702216146128,0.999959397790101
"369.3114374",0.00264950473131455,0.0054261856897322,0.95112672773435,0.999959397790101
"371.1641927",1.14674111455597e-132,1.95710483550885e-130,0.396886575659405,0.999959397790101
"371.1649285",7.18245908241773e-62,8.75575964332827e-61,0.681800847317704,0.999959397790101
"371.2775179",1.48332553354779e-20,9.61345155919578e-20,0.846754189541164,0.999959397790101
"374.3035739",4.17302816525472e-05,0.000114256172225156,0.939383928190208,0.999959397790101
"375.2243008",0.000589521312287112,0.00132966921537886,0.944197289137485,0.999959397790101
"375.2512516",4.1029806676319e-20,2.62590762728442e-19,0.85322172316803,0.999959397790101
"376.3192412",0.00993221259348693,0.0187649182578056,0.963152363330427,0.999959397790101
"377.1472394",0.0252568431103643,0.0435868667937433,0.963056382439547,0.999959397790101
"378.2000109",0.24356969761529,0.308682389057002,0.979622432188415,0.999959397790101
"379.1595709",0.414235814427515,0.489938788606202,0.990064322004471,0.999959397790101
"380.1133877",0.0296293575436579,0.0497384624995175,0.964006084981729,0.999959397790101
"380.1448685",0.760785030417473,0.80313801149226,0.992778933706754,0.999959397790101
"380.1935468",0.0724579252393976,0.10911311094874,0.974983971086727,0.999959397790101
"383.1528889",0.829739790962272,0.865797073327326,0.994120454474837,0.999959397790101
"383.2056702",5.68559776904449e-12,2.64638732522798e-11,0.891823642935874,0.999959397790101
"384.2441667",0.415370370322303,0.490022188029997,0.990056102210595,0.999959397790101
"385.1803985",3.55503285513854e-91,1.21345121455396e-89,0.568687315461238,0.999959397790101
"387.3220554",3.69698437159387e-21,2.55791351115684e-20,0.847739602356478,0.999959397790101
"389.1373024",0.0236233553558382,0.0411399930006435,0.967709329988102,0.999959397790101
"391.165282",4.06434507242585e-21,2.77459290277605e-20,0.843903223236102,0.999959397790101
"391.1893505",1.77292798884621e-34,1.68099838942455e-33,0.786961286534737,0.999959397790101
"391.2932549",0.000460956099596687,0.00107277055906138,0.947969389453598,0.999959397790101
"393.175573",0.0939746817030896,0.138173753593248,0.976798221934193,0.999959397790101
"394.3297027",0.000148792366472169,0.000369814037057041,0.944018276220336,0.999959397790101
"395.1673928",0.0227612053744792,0.0397738469342436,0.962292273111315,0.999959397790101
"395.2769884",2.44938154485765e-10,1.01135754110251e-09,0.898387558065463,0.999959397790101
"395.2770817",1.19756226320001e-08,4.50846969675296e-08,0.908811500482776,0.999959397790101
"395.2771843",1.06109864427555e-12,5.17411910351508e-12,0.885118845128836,0.999959397790101
"395.2773739",1.31933531950632e-15,7.42307344601359e-15,0.869895184529038,0.999959397790101
"397.2930753",1.73050075982046e-15,9.63061292421822e-15,0.870656586536428,0.999959397790101
"399.2523327",0.0170568145299667,0.0304288816701845,0.96075278808029,0.999959397790101
"399.3087183",4.49427742891073e-13,2.25595102313951e-12,0.882356703217597,0.999959397790101
"401.1159491",0.122316983596332,0.172524230306672,0.97360243615496,0.999959397790101
"403.1626463",0.216827935906842,0.28176625173681,0.983627563178972,0.999959397790101
"405.2599642",9.5062917545791e-05,0.000243361068917225,0.941990685607285,0.999959397790101
"407.1902104",0.843034268325014,0.873752116158719,0.994424555192989,0.999959397790101
"409.1631715",1.62497649367918e-11,7.11100824584391e-11,0.890789692807317,0.999959397790101
"409.1756495",0.00685244324231883,0.0131896651882227,0.955973532392383,0.999959397790101
"409.2643126",1.17787606376979e-20,7.83211096948223e-20,0.845737797707931,0.999959397790101
"409.2717098",1.95374712981571e-25,1.53895158533176e-24,0.827797349193055,0.999959397790101
"410.2578356",0.00182864427793903,0.0039011077929366,0.954292943411603,0.999959397790101
"411.2721205",1.79893269259824e-14,9.59430769385726e-14,0.87534947324328,0.999959397790101
"411.2724253",6.10661253504871e-13,3.00633232494706e-12,0.883926606522804,0.999959397790101
"413.1172534",0.711502872691687,0.762111863636284,0.996872539306493,0.999959397790101
"413.2349763",5.33694945441646e-05,0.000141581249775193,0.935010100506678,0.999959397790101
"415.3038653",3.89288775108816e-10,1.56941616421822e-09,0.899787033744104,0.999959397790101
"418.054381",0.0252837879643394,0.0435868667937433,0.963051057676229,0.999959397790101
"419.275039",5.9631790625045e-23,4.42485171014827e-22,0.840753426578205,0.999959397790101
"421.2333341",2.62204793028728e-05,7.29613337123418e-05,0.937776449342685,0.999959397790101
"424.1071563",0.000479621903137157,0.00111116024618201,0.94345490354134,0.999959397790101
"425.13905",0.0373477193228772,0.0616839751397198,0.965393607787382,0.999959397790101
"425.2156758",0.620161464526236,0.677020617990262,0.98990447509091,0.999959397790101
"426.262085",0.00253528316539836,0.00527242476672872,0.95089993082138,0.999959397790101
"426.2621224",8.51709587094918e-05,0.000221358024666293,0.936608929980166,0.999959397790101
"427.3030005",5.18277775471696e-13,2.57629340816998e-12,0.883380854158804,0.999959397790101
"429.3194505",8.63636814192259e-07,2.8164461711238e-06,0.921047779255532,0.999959397790101
"433.1838372",1.429984615722e-30,1.28447740920994e-29,0.808594483954888,0.999959397790101
"433.2300836",0.0531325540060802,0.0831922558138015,0.968066429506192,0.999959397790101
"434.2675054",0.90961393158827,0.925889329966589,0.999201865780498,0.999959397790101
"437.1933038",8.29357480555334e-14,4.33296969432991e-13,0.879260641794985,0.999959397790101
"437.1940678",1.11185526261646e-11,4.95017299530113e-11,0.890865665734587,0.999959397790101
"439.066021",0.000532235531128217,0.00122241851599763,0.943623097791351,0.999959397790101
"440.2243451",0.837951409459967,0.870245682846862,0.999406278704649,0.999959397790101
"440.277918",0.0438829479679155,0.0706543061621784,0.966413619590571,0.999959397790101
"440.278015",0.0515118953814264,0.081151047493201,0.967559455561736,0.999959397790101
"442.2642393",0.0831132737999785,0.124064128820959,0.97098333125153,0.999959397790101
"442.2780087",1.11126594820843e-20,7.48642323003576e-20,0.845958212033002,0.999959397790101
"443.300283",0.102408867952023,0.14895835338476,0.977355030677749,0.999959397790101
"443.334801",8.08755908080351e-12,3.6323072362907e-11,0.889187315941022,0.999959397790101
"445.2335719",8.5518871922925e-07,2.80677323234215e-06,0.920625876242564,0.999959397790101
"447.1189675",0.543652609916983,0.618555858394434,0.993236050499589,0.999959397790101
"447.1992873",1.15732362996783e-160,5.92549698543527e-158,0.275073757845288,0.999959397790101
"449.2049286",0.723509257638982,0.771743208148247,0.992036726616508,0.999959397790101
